Site,Location,Criteria,Areaha (acre),Year_num,lat,lon,country,site_page_name,site_page_link
Churches of Chiloé,"ChileChiloé Province, Los Lagos Region, Chile42°30′0″S 73°46′0″W﻿ / ﻿42.50000°S 73.76667°W﻿ / -42.50000; -73.76667﻿ (Churches of Chiloé)","Cultural:(ii), (iii)",—,1987,42.5,73.76667022705078,Chile,/wiki/Churches_of_Chilo%C3%A9,https://en.wikipedia.org/wiki/Churches_of_Chilo%C3%A9
City of Cuzco,"PeruCuzco, Peru13°31′20″S 71°59′0″W﻿ / ﻿13.52222°S 71.98333°W﻿ / -13.52222; -71.98333﻿ (City of Cuzco)","Cultural:(iii), (iv)",—,1987,13.522222518920898,71.98332977294922,Peru,/wiki/Cusco,https://en.wikipedia.org/wiki/Cusco
City of Potosí,"BoliviaPotosí, Potosí Department, Bolivia19°35′1″S 65°45′11″W﻿ / ﻿19.58361°S 65.75306°W﻿ / -19.58361; -65.75306﻿ (City of Potosí)","Cultural:(ii), (iv), (vi)",7006130000000000000♠130 (320),1987,19.58361053466797,65.7530517578125,Bolivia,NA,https://en.wikipedia.orgNA
City of Quito,"EcuadorQuito, Quito Canton, Pichincha Province, Ecuador0°0′14″N 78°30′0″W﻿ / ﻿0.00389°N 78.50000°W﻿ / 0.00389; -78.50000﻿ (City of Quito)","Cultural:(ii), (iv)",7006320000000000000♠320 (790),1987,0.003888888983055949,78.5,Ecuador,NA,https://en.wikipedia.orgNA
Ciudad Universitaria de Caracas,"VenezuelaMunicipality of Libertador, Caracas, Venezuela10°29′27″N 66°53′26″W﻿ / ﻿10.49083°N 66.89056°W﻿ / 10.49083; -66.89056﻿ (Ciudad Universitaria de Caracas)","Cultural:(i), (iv)",—,1987,10.490833282470703,66.89055633544922,Venezuela,/wiki/Ciudad_Universitaria_de_Caracas,https://en.wikipedia.org/wiki/Ciudad_Universitaria_de_Caracas
Coffee Cultural Landscape of Colombia,"ColombiaCaldas, Quindío and Risaralda Departments, Colombia5°28′N 75°41′W﻿ / ﻿5.467°N 75.683°W﻿ / 5.467; -75.683﻿ (Coffee Cultural Landscape of Colombia)","Cultural:(v), (vi)","7009141120000000000♠141,120 (348,700); buffer zone 207,000 (510,000)",1987,5.4666666984558105,75.68333435058594,Colombia,/wiki/Colombian_Coffee-Growers_Axis,https://en.wikipedia.org/wiki/Colombian_Coffee-Growers_Axis
Coro and its Port,"VenezuelaFalcón, Venezuela11°24′N 69°41′W﻿ / ﻿11.400°N 69.683°W﻿ / 11.400; -69.683﻿ (Coro and its Port)","Cultural:(iv), (v)",7006107000000000000♠107 (260); buffer zone 107 (260),1987,11.399999618530273,69.68333435058594,Venezuela,/wiki/Coro_and_its_Port,https://en.wikipedia.org/wiki/Coro_and_its_Port
"Cueva de las Manos, Río Pinturas","ArgentinaSanta Cruz Province, Argentina47°9′0″S 70°40′0″W﻿ / ﻿47.15000°S 70.66667°W﻿ / -47.15000; -70.66667﻿ (Cueva de las Manos, Río Pinturas)",Cultural:(iii),—,1987,47.150001525878906,70.66666412353516,Argentina,NA,https://en.wikipedia.orgNA
Fray Bentos Cultural-Industrial Landscape,"UruguayRío Negro Department, Uruguay33°07′04″S 58°19′54″W﻿ / ﻿33.117778°S 58.331667°W﻿ / -33.117778; -58.331667﻿ (Fray Bentos Cultural-Industrial Landscape)","Cultural:(ii), (iv)","7006274000000000000♠274 (680); buffer zone 2,128 (5,260)",1987,33.11777877807617,58.3316650390625,Uruguay,/wiki/Fray_Bentos_Cultural-Industrial_Landscape,https://en.wikipedia.org/wiki/Fray_Bentos_Cultural-Industrial_Landscape
Fuerte de Samaipata,"BoliviaFlorida Province, Santa Cruz Department, Bolivia18°10′S 63°49′W﻿ / ﻿18.167°S 63.817°W﻿ / -18.167; -63.817﻿ (Fuerte de Samaipata)","Cultural:(ii), (iii)",—,1987,18.16666603088379,63.81666564941406,Bolivia,/wiki/Fuerte_de_Samaipata,https://en.wikipedia.org/wiki/Fuerte_de_Samaipata
Historical Centre of the City of Arequipa,"PeruArequipa, Peru16°24′0″S 71°32′0″W﻿ / ﻿16.40000°S 71.53333°W﻿ / -16.40000; -71.53333﻿ (Historical Centre of the City of Arequipa))","Cultural:(i), (iv)",7006167000000000000♠167 (410); buffer zone 165 (410),1987,16.399999618530273,71.53333282470703,Peru,/wiki/Historic_Centre_of_Arequipa,https://en.wikipedia.org/wiki/Historic_Centre_of_Arequipa
Historic Centre of Salvador de Bahia,"BrazilBahia state, Brazil12°58′0″S 38°30′0″W﻿ / ﻿12.96667°S 38.50000°W﻿ / -12.96667; -38.50000﻿ (Historic Centre of Salvador de Bahia)","Cultural:(iv), (vi)",—,1987,12.966666221618652,38.5,Brazil,NA,https://en.wikipedia.orgNA
Historic Centre of Santa Ana de los Ríos de Cuenca,"EcuadorAzuay Province, Ecuador2°53′0″S 78°59′0″W﻿ / ﻿2.88333°S 78.98333°W﻿ / -2.88333; -78.98333﻿ (Historic Centre of Santa Ana de los Ríos de Cuenca)","Cultural:(ii), (iv), (v)",7006200000000000000♠200 (490),1987,2.883333444595337,78.98332977294922,Ecuador,NA,https://en.wikipedia.orgNA
Historic Centre of Lima,"PeruLima Province, Peru12°3′5″S 77°2′35″W﻿ / ﻿12.05139°S 77.04306°W﻿ / -12.05139; -77.04306﻿ (Historic Centre of Lima)",Cultural:(iv),7006200000000000000♠200 (490),1987,12.05138874053955,77.04305267333984,Peru,/wiki/Historic_Centre_of_Lima,https://en.wikipedia.org/wiki/Historic_Centre_of_Lima
Historic Centre of Santa Cruz de Mompox,"ColombiaBolívar Department, Colombia9°14′0″N 74°26′0″W﻿ / ﻿9.23333°N 74.43333°W﻿ / 9.23333; -74.43333﻿ (Historic Centre of Santa Cruz de Mompox)","Cultural:(iv), (v)","7006458000000000000♠458 (1,130); buffer zone 632 (1,560)",1987,9.233333587646484,74.43333435058594,Colombia,NA,https://en.wikipedia.orgNA
Historic Centre of São Luís,"BrazilMaranhão state, Brazil2°30′51″S 44°18′9″W﻿ / ﻿2.51417°S 44.30250°W﻿ / -2.51417; -44.30250﻿ (Historic Centre of São Luís)","Cultural:(iii), (iv), (v)",—,1987,2.5141665935516357,44.3025016784668,Brazil,NA,https://en.wikipedia.orgNA
Historic Centre of the Town of Diamantina,"BrazilMinas Gerais, Brazil18°40′0″S 43°36′0″W﻿ / ﻿18.66667°S 43.60000°W﻿ / -18.66667; -43.60000﻿ (Historic Centre of the Town of Diamantina)","Cultural:(ii), (iv)",7005290000000000000♠29 (72),1987,18.66666603088379,43.599998474121094,Brazil,NA,https://en.wikipedia.orgNA
Historic Centre of the Town of Goiás,"BrazilGoiás, Brazil15°56′0″S 50°8′0″W﻿ / ﻿15.93333°S 50.13333°W﻿ / -15.93333; -50.13333﻿ (Historic Centre of the Town of Goiás)","Cultural:(ii), (iv)",7005400000000000000♠40 (99); buffer zone 44 (110),1987,15.933333396911621,50.13333511352539,Brazil,NA,https://en.wikipedia.orgNA
Historic Centre of the Town of Olinda,"BrazilPernambuco, Brazil8°0′48″S 34°50′42″W﻿ / ﻿8.01333°S 34.84500°W﻿ / -8.01333; -34.84500﻿ (Historic Centre of the Town of Olinda)","Cultural:(ii), (iv)","7006120000000000000♠120 (300); buffer zone 920 (2,300)",1987,8.013333320617676,34.845001220703125,Brazil,NA,https://en.wikipedia.orgNA
Historic City of Sucre,"BoliviaOropeza Province, Chuquisaca Department, Bolivia19°2′35″S 65°15′33″W﻿ / ﻿19.04306°S 65.25917°W﻿ / -19.04306; -65.25917﻿ (Historic City of Sucre)",Cultural:(iv),7006114000000000000♠114 (280),1987,19.04305648803711,65.25916290283203,Bolivia,NA,https://en.wikipedia.orgNA
Historic Inner City of Paramaribo,"SurinameParamaribo District, Suriname5°49′34″N 55°9′0″W﻿ / ﻿5.82611°N 55.15000°W﻿ / 5.82611; -55.15000﻿ (Historic Inner City of Paramaribo)","Cultural:(ii), (iv)",7005300000000000000♠30 (74); buffer zone 60 (150),1987,5.826111316680908,55.150001525878906,Suriname,NA,https://en.wikipedia.orgNA
Historic Quarter of the City of Colonia del Sacramento,"UruguayColonia Department, Uruguay34°28′4″S 57°51′12″W﻿ / ﻿34.46778°S 57.85333°W﻿ / -34.46778; -57.85333﻿ (Historic Quarter of the City of Colonia del Sacramento)",Cultural:(iv),7005160000000000000♠16 (40),1987,34.467777252197266,57.85333251953125,Uruguay,NA,https://en.wikipedia.orgNA
Historic Quarter of the Seaport City of Valparaíso,"ChileValparaíso Province, Chile33°2′26″S 71°37′41″W﻿ / ﻿33.04056°S 71.62806°W﻿ / -33.04056; -71.62806﻿ (Historic Quarter of the Seaport City of Valparaíso)",Cultural:(iii),7005230000000000000♠23 (57); buffer zone 45 (110),1987,33.04055404663086,71.6280517578125,Chile,NA,https://en.wikipedia.orgNA
Historic Town of Ouro Preto,"BrazilMinas Gerais, Brazil20°23′20″S 43°30′20″W﻿ / ﻿20.38889°S 43.50556°W﻿ / -20.38889; -43.50556﻿ (Historic Town of Ouro Preto)","Cultural:(i), (iii)",—,1987,20.38888931274414,43.50555419921875,Brazil,NA,https://en.wikipedia.orgNA
Humberstone and Santa Laura Saltpeter Works†,"ChileTarapacá, Chile20°12′30″S 69°47′40″W﻿ / ﻿20.20833°S 69.79444°W﻿ / -20.20833; -69.79444﻿ (Humberstone and Santa Laura Saltpeter Works)","Cultural:(ii), (iii), (iv)",—,1987,20.20833396911621,69.79444122314453,Chile,NA,https://en.wikipedia.orgNA
Jesuit Block and Estancias of Córdoba,ArgentinaCórdoba Argentina31°25′14″S 64°11′28″W﻿ / ﻿31.42056°S 64.19111°W﻿ / -31.42056; -64.19111﻿ (Jesuit Block and Estancias of Córdoba),"Cultural:(ii), (iv)",—,1987,31.420555114746094,64.19110870361328,Argentina,/wiki/Jesuit_Block_and_Estancias_of_C%C3%B3rdoba,https://en.wikipedia.org/wiki/Jesuit_Block_and_Estancias_of_C%C3%B3rdoba
Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangue,Paraguay Paraguay27°8′S 55°42′W﻿ / ﻿27.133°S 55.700°W﻿ / -27.133; -55.700﻿ (Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangue),Cultural:(iv),—,1987,27.133333206176758,55.70000076293945,Paraguay,NA,https://en.wikipedia.orgNA
Jesuit Missions of Chiquitos,"BoliviaSanta Cruz Department, Bolivia16°0′S 60°30′W﻿ / ﻿16.000°S 60.500°W﻿ / -16.000; -60.500﻿ (Jesuit Missions of Chiquitos)","Cultural:(iv), (v)",—,1987,16,60.5,Bolivia,/wiki/Jesuit_Missions_of_Chiquitos,https://en.wikipedia.org/wiki/Jesuit_Missions_of_Chiquitos
"Jesuit Missions of the Guaranis: San Ignacio Miní, Santa Ana, Nuestra Señora de Loreto and Santa María Mayor (Argentina), Ruins of São Miguel das Missões (Brazil)","ArgentinaMisiones Province,  Argentina* and Rio Grande do Sul,  Brazil*28°32′36″S 54°15′57″W﻿ / ﻿28.54333°S 54.26583°W﻿ / -28.54333; -54.26583﻿ (Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil))",Cultural:(iv),—,1987,28.543333053588867,54.26583480834961,Argentina,NA,https://en.wikipedia.orgNA
Lines and Geoglyphs of Nazca and Pampas de Jumana,"PeruNazca, Peru14°43′33″S 75°8′55″W﻿ / ﻿14.72583°S 75.14861°W﻿ / -14.72583; -75.14861﻿ (Lines and Geoglyphs of Nazca and Pampas de Jumana))","Cultural:(i), (iii), (iv)",—,1987,14.72583293914795,75.14861297607422,Peru,/wiki/Nazca_Lines,https://en.wikipedia.org/wiki/Nazca_Lines
National Archeological Park of Tierradentro,"ColombiaInza, Cauca Department, Colombia2°35′0″N 76°2′0″W﻿ / ﻿2.58333°N 76.03333°W﻿ / 2.58333; -76.03333﻿ (National Archeological Park of Tierradentro)",Cultural:(iii),—,1987,2.5833332538604736,76.03333282470703,Colombia,NA,https://en.wikipedia.orgNA
Pampulha Modern Ensemble,"BrazilBelo Horizonte, Brazil19°51′7″S 43°58′25″W﻿ / ﻿19.85194°S 43.97361°W﻿ / -19.85194; -43.97361﻿ (Pampulha Modern Ensemble)","Cultural:(i), (ii), (iv)","7006154000000000000♠154 (380); buffer zone 7007141800000000000♠1,418 (3,500)",1987,19.851943969726562,43.973609924316406,Brazil,/wiki/Pampulha_Modern_Ensemble,https://en.wikipedia.org/wiki/Pampulha_Modern_Ensemble
"Port, Fortresses and Group of Monuments, Cartagena","ColombiaBolívar Department, Colombia10°25′0″N 75°32′0″W﻿ / ﻿10.41667°N 75.53333°W﻿ / 10.41667; -75.53333﻿ (Port, Fortresses and Group of Monuments, Cartagena)","Cultural:(iv), (vi)",—,1987,10.416666984558105,75.53333282470703,Colombia,NA,https://en.wikipedia.orgNA
Quebrada de Humahuaca,ArgentinaJujuy Province Argentina23°12′0″S 65°20′56″W﻿ / ﻿23.20000°S 65.34889°W﻿ / -23.20000; -65.34889﻿ (Quebrada de Humahuaca),"Cultural:(ii), (iv), (v)","7009172116000000000♠172,116 (425,310); buffer zone 369,649 (913,420)",1987,23.200000762939453,65.34889221191406,Argentina,/wiki/Quebrada_de_Humahuaca,https://en.wikipedia.org/wiki/Quebrada_de_Humahuaca
"Qhapaq Ñan, Andean Road System",Argentina ArgentinaBolivia BoliviaChile ChileColombia ColombiaEcuador EcuadorPeru Peru,"Cultural:(ii), (iii), (iv), (vi)","7012300000000000000♠300,000,000 (740,000,000)",1987,NaN,NaN,Argentina,NA,https://en.wikipedia.orgNA
Rio de Janeiro: Carioca Landscapes Between the Mountain and the Sea,"BrazilRio de Janeiro, Brazil24°50′S 43°11′W﻿ / ﻿24.833°S 43.183°W﻿ / -24.833; -43.183﻿ (Rio de Janeiro)",Cultural:(vi),"7007724900000000000♠7,249 (17,910); buffer zone 8,621 (21,300)",1987,24.83333396911621,43.18333435058594,Brazil,NA,https://en.wikipedia.orgNA
Sacred City of Caral-Supe,"PeruLima, Peru10°53′30″S 77°31′17″W﻿ / ﻿10.89167°S 77.52139°W﻿ / -10.89167; -77.52139﻿ (Sacred City of Caral-Supe))","Cultural:(ii), (iii), (iv)","7006626000000000000♠626 (1,550); buffer zone 14,620 (36,100)",1987,10.891666412353516,77.5213851928711,Peru,/wiki/Caral,https://en.wikipedia.org/wiki/Caral
San Agustín Archaeological Park,"ColombiaSan Augustin and San José de Isnos, Huila Department, Colombia1°55′0″N 76°14′0″W﻿ / ﻿1.91667°N 76.23333°W﻿ / 1.91667; -76.23333﻿ (San Agustín Archaeological Park)",Cultural:(iii),—,1987,1.9166666269302368,76.23332977294922,Colombia,/wiki/San_Agust%C3%ADn_Archaeological_Park,https://en.wikipedia.org/wiki/San_Agust%C3%ADn_Archaeological_Park
Sanctuary of Bom Jesus do Congonhas,"BrazilCongonhas, Minas Gerais, Brazil20°29′59″S 43°51′28″W﻿ / ﻿20.49972°S 43.85778°W﻿ / -20.49972; -43.85778﻿ (Sanctuary of Bom Jesus do Congonhas)","Cultural:(i), (iv)",—,1987,20.49972152709961,43.8577766418457,Brazil,/wiki/Sanctuary_of_Bom_Jesus_do_Congonhas,https://en.wikipedia.org/wiki/Sanctuary_of_Bom_Jesus_do_Congonhas
São Francisco Square in the Town of São Cristóvão,"BrazilSão Cristóvão, Sergipe, Brazil11°0′58″S 37°12′36″W﻿ / ﻿11.01611°S 37.21000°W﻿ / -11.01611; -37.21000﻿ (São Francisco Square in the Town of São Cristóvão)","Cultural:(ii), (iv)","7004300000000000000♠3.00 (7.4); buffer zone 2,500 (6,200)",1987,11.016111373901367,37.209999084472656,Brazil,NA,https://en.wikipedia.orgNA
Serra da Capivara National Park,"BrazilPiauí, Brazil8°25′0″S 42°20′0″W﻿ / ﻿8.41667°S 42.33333°W﻿ / -8.41667; -42.33333﻿ (Serra da Capivara National Park)",Cultural:(iii),—,1987,8.416666984558105,42.33333206176758,Brazil,/wiki/Serra_da_Capivara_National_Park,https://en.wikipedia.org/wiki/Serra_da_Capivara_National_Park
Sewell Mining Town,"ChileMachalí, Cachapoal Province, O'Higgins Region Chile34°5′4″S 70°22′58″W﻿ / ﻿34.08444°S 70.38278°W﻿ / -34.08444; -70.38278﻿ (Sewell Mining Town)",Cultural:(ii),7005170000000000000♠17 (42); buffer zone 33 (82),1987,34.08444595336914,70.38277435302734,Chile,NA,https://en.wikipedia.orgNA
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,"BoliviaIngavi Province, La Paz Department, Bolivia16°33′30″S 68°40′40″W﻿ / ﻿16.55833°S 68.67778°W﻿ / -16.55833; -68.67778﻿ (Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture)","Cultural:(iii), (iv)",—,1987,16.558332443237305,68.67778015136719,Bolivia,NA,https://en.wikipedia.orgNA
Valongo Wharf Archaeological Site,"BrazilRio de Janeiro, Brazil22°53′49.6″S 43°11′14.62″W﻿ / ﻿22.897111°S 43.1873944°W﻿ / -22.897111; -43.1873944﻿ (Valongo Wharf Archaeological Site)",Cultural:(vi),7003390000000000000♠0.39 (0.96); buffer zone 7005420000000000000♠42 (100),1987,22.897111892700195,43.18739318847656,Brazil,NA,https://en.wikipedia.orgNA
Historic Centre of Bukhara,"Bukhara Province,  Uzbekistan39°46′29″N 64°25′43″E﻿ / ﻿39.77472°N 64.42861°E﻿ / 39.77472; 64.42861﻿ (Historic Centre of Bukhara)","Cultural:(ii), (iv), (vi)",—,1993,39.774723052978516,64.4286117553711,Uzbekistan,/wiki/Historic_Centre_of_Bukhara,https://en.wikipedia.org/wiki/Historic_Centre_of_Bukhara
Historic Centre of Shakhrisyabz,"Qashqadaryo Province,  Uzbekistan39°3′0″N 66°50′0″E﻿ / ﻿39.05000°N 66.83333°E﻿ / 39.05000; 66.83333﻿ (Historic Centre of Shakhrisyabz)","Cultural:(iii), (iv)",7006240000000000000♠240 (590); buffer zone 82 (200),1993,39.04999923706055,66.83333587646484,Uzbekistan,/wiki/Historic_Centre_of_Shakhrisyabz,https://en.wikipedia.org/wiki/Historic_Centre_of_Shakhrisyabz
Itchan Kala,"Khiva, Xorazm Province,  Uzbekistan41°22′42″N 60°21′50″E﻿ / ﻿41.37833°N 60.36389°E﻿ / 41.37833; 60.36389﻿ (Itchan Kala)","Cultural:(iii), (iv), (v)",7005260000000000000♠26 (64),1993,41.378334045410156,60.363887786865234,Uzbekistan,/wiki/Itchan_Kala,https://en.wikipedia.org/wiki/Itchan_Kala
Kunya-Urgench,"Daşoguz Province,  Turkmenistan42°10′59″N 59°5′6″E﻿ / ﻿42.18306°N 59.08500°E﻿ / 42.18306; 59.08500﻿ (Kunya-Urgench)","Cultural:(ii), (iii)",—,1993,42.18305587768555,59.084999084472656,Turkmenistan,/wiki/Konye-Urgench,https://en.wikipedia.org/wiki/Konye-Urgench
Mausoleum of Khoja Ahmed Yasawi,"Turkestan, South Kazakhstan Province,  Kazakhstan43°17′35″N 68°16′28″E﻿ / ﻿43.29306°N 68.27444°E﻿ / 43.29306; 68.27444﻿ (Mausoleum of Khoja Ahmed Yasawi)","Cultural:(i), (iii), (iv)",7003550000000000000♠0.55 (1.4); buffer zone 88 (220),1993,43.29305648803711,68.274444580078125,Kazakhstan,/wiki/Mausoleum_of_Khoja_Ahmed_Yasawi,https://en.wikipedia.org/wiki/Mausoleum_of_Khoja_Ahmed_Yasawi
Parthian Fortresses of Nisa,"Bagyr settlement, Ruhabat District, Ahal Province,  Turkmenistan37°59′59″N 58°11′55″E﻿ / ﻿37.99972°N 58.19861°E﻿ / 37.99972; 58.19861﻿ (Parthian Fortresses of Nisa)","Cultural:(ii), (iii)",7005780000000000000♠78 (190); buffer zone 400 (990),1993,37.99972152709961,58.198612213134766,Turkmenistan,/wiki/Parthian_Fortresses_of_Nisa,https://en.wikipedia.org/wiki/Parthian_Fortresses_of_Nisa
Petroglyphs within the Archaeological Landscape of Tamgaly,"Almaty Province,  Kazakhstan43°48′12″N 75°32′6″E﻿ / ﻿43.80333°N 75.53500°E﻿ / 43.80333; 75.53500﻿ (Petroglyphs within the Archaeological Landscape of Tamgaly)",Cultural:(iii),"7006900000000000000♠900 (2,200); buffer zone 2,900 (7,200)",1993,43.8033332824707,75.535003662109375,Kazakhstan,/wiki/Petroglyphs_within_the_Archaeological_Landscape_of_Tamgaly,https://en.wikipedia.org/wiki/Petroglyphs_within_the_Archaeological_Landscape_of_Tamgaly
Proto-urban site of Sarazm,"Panjakent,  Tajikistan39°30′28″N 67°27′37″E﻿ / ﻿39.50778°N 67.46028°E﻿ / 39.50778; 67.46028﻿ (Proto-urban site of Sarazm)","Cultural:(ii), (iii)",7005160000000000000♠16 (40); buffer zone 142 (350),1993,39.50777816772461,67.46028137207031,Tajikistan,/wiki/Proto-urban_site_of_Sarazm,https://en.wikipedia.org/wiki/Proto-urban_site_of_Sarazm
Samarkand – Crossroads of Cultures,"Samarqand Province,  Uzbekistan39°40′7″N 67°0′0″E﻿ / ﻿39.66861°N 67.00000°E﻿ / 39.66861; 67.00000﻿ (Samarkand – Crossroads of Cultures)","Cultural:(i), (ii), (iv)","7006965000000000000♠965 (2,380)",1993,39.668609619140625,67,Uzbekistan,/wiki/Samarkand_%E2%80%93_Crossroads_of_Cultures,https://en.wikipedia.org/wiki/Samarkand_%E2%80%93_Crossroads_of_Cultures
Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,"22 sites in  China: Luoyang, Lingbao and Xin'an of Henan Province; Xi'an, Bin County and Chenggu of Shaanxi Province; Tianshui, Yongjing, Dunhuang and Anxi of Gansu Province; Turpan, Jimsar and Kuqa of Xinjiang Uyghur Autonomous Region.8 sites in  Kazakhstan: Almaty Province and Jambyl Province.3 sites in  Kyrgyzstan: Chuy Province",Cultural:(ii)(iii)(iv)(vi),"7008426681600000000♠42,668.16 (105,435.3); buffer zone 7009189963130000000♠189,963.13 (469,409.1)",1993,NaN,NaN,China,NA,https://en.wikipedia.orgNA
State Historical and Cultural Park “Ancient Merv”,"Mary Province,  Turkmenistan37°42′3″N 62°10′39″E﻿ / ﻿37.70083°N 62.17750°E﻿ / 37.70083; 62.17750﻿ (State Historical and Cultural Park “Ancient Merv”)","Cultural:(ii), (iii)","7006353000000000000♠353 (870); buffer zone 883 (2,180)",1993,37.70083236694336,62.1775016784668,Turkmenistan,/wiki/State_Historical_and_Cultural_Park_%E2%80%9CAncient_Merv%E2%80%9D,https://en.wikipedia.org/wiki/State_Historical_and_Cultural_Park_%E2%80%9CAncient_Merv%E2%80%9D
Sulaiman-Too Sacred Mountain,"Osh,  Kyrgyzstan40°31′52″N 72°46′58″E﻿ / ﻿40.53111°N 72.78278°E﻿ / 40.53111; 72.78278﻿ (Sulaiman-Too Sacred Mountain)","Cultural:(iii), (vi)","7006112000000000000♠112 (280); buffer zone 4,788 (11,830)",1993,40.53111267089844,72.78277587890625,Kyrgyzstan,/wiki/Sulaiman-Too_Sacred_Mountain,https://en.wikipedia.org/wiki/Sulaiman-Too_Sacred_Mountain
Aflaj Irrigation Systems of Oman,"Sharqiyah and Batinah Regions,  Oman22°59′56″N 57°32′10″E﻿ / ﻿22.99889°N 57.53611°E﻿ / 22.99889; 57.53611﻿ (Aflaj Irrigation Systems of Oman)",Cultural:(v),"7007145600000000000♠1,456 (3,600); buffer zone 16,404 (40,540)",2006,22.99888801574707,57.536109924316406,Oman,NA,https://en.wikipedia.orgNA
Al-Hasa,"Al-Ahsa Governorate,  Saudi Arabia25°25′46″N 49°37′19″E﻿ / ﻿25.42944°N 49.62194°E﻿ / 25.42944; 49.62194﻿ (Al-Hasa)",Cultural:(iii)(iv)(v),"7007854400000000000♠8,544 (21,110); buffer zone 21,556 (53,270)",2006,25.429445266723633,49.621944427490234,Saudi Arabia,/wiki/Al-Hasa,https://en.wikipedia.org/wiki/Al-Hasa
Al-Hijr Archaeological Site (Madâin Sâlih),"Al Madinah Province,  Saudi Arabia26°47′1″N 37°57′18″E﻿ / ﻿26.78361°N 37.95500°E﻿ / 26.78361; 37.95500﻿ (Al-Hijr Archaeological Site (Madâin Sâlih))",Cultural:(ii)(iii),"7007162100000000000♠1,621 (4,010); buffer zone 1,659 (4,100)",2006,26.783611297607422,37.95500183105469,Saudi Arabia,/wiki/Mada%27in_Saleh,https://en.wikipedia.org/wiki/Mada%27in_Saleh
Al Zubarah Archaeological Site,"Madinat ash Shamal,  Qatar25°58′41″N 51°1′47″E﻿ / ﻿25.97806°N 51.02972°E﻿ / 25.97806; 51.02972﻿ (Al Zubarah Archaeological Site)",Cultural:(iii)(iv)(v),"7006416000000000000♠416 (1,030); buffer zone 7,196 (17,780)",2006,25.978055953979492,51.02972412109375,Qatar,NA,https://en.wikipedia.orgNA
Ancient City of Aleppo,"Aleppo Governorate,  Syria36°14′0″N 37°10′0″E﻿ / ﻿36.23333°N 37.16667°E﻿ / 36.23333; 37.16667﻿ (Ancient City of Aleppo)",Cultural:(iii)(iv),7006350000000000000♠350 (860),2006,36.233333587646484,37.16666793823242,Syria,/wiki/Old_City_of_Aleppo,https://en.wikipedia.org/wiki/Old_City_of_Aleppo
Ancient City of Bosra,"Daraa Governorate,  Syria32°31′5″N 36°28′54″E﻿ / ﻿32.51806°N 36.48167°E﻿ / 32.51806; 36.48167﻿ (Ancient City of Bosra)",Cultural:(i)(iii)(vi),—,2006,32.5180549621582,36.481666564941406,Syria,/wiki/Ancient_City_of_Bosra,https://en.wikipedia.org/wiki/Ancient_City_of_Bosra
Ancient City of Damascus,"Damascus Governorate,  Syria33°30′41″N 36°18′23″E﻿ / ﻿33.51139°N 36.30639°E﻿ / 33.51139; 36.30639﻿ (Ancient City of Damascus)",Cultural:(i)(ii)(iii)(iv)(vi),7005860000000000000♠86 (210),2006,33.511390686035156,36.30638885498047,Syria,/wiki/Ancient_City_of_Damascus,https://en.wikipedia.org/wiki/Ancient_City_of_Damascus
Ancient City of Qalhat,"Ash Sharqiyah South Governorate,  Oman22°42′N 59°22′E﻿ / ﻿22.700°N 59.367°E﻿ / 22.700; 59.367﻿ (Ancient City of Qalhat)",Cultural:(ii)(iii),7005758199999999999♠75.82 (187.4); buffer zone 170.09 (420.3),2006,22.700000762939453,59.36666488647461,Oman,/wiki/Qalhat,https://en.wikipedia.org/wiki/Qalhat
Ancient Villages of Northern Syria,"Aleppo and Idlib Governorates,  Syria36°20′3″N 36°50′39″E﻿ / ﻿36.33417°N 36.84417°E﻿ / 36.33417; 36.84417﻿ (Ancient Villages of Northern Syria)",Cultural:(iii)(iv)(v),"7008122900000000000♠12,290 (30,400)",2006,36.33416748046875,36.84416580200195,Syria,/wiki/Dead_Cities,https://en.wikipedia.org/wiki/Dead_Cities
Anjar,"Beqaa Governorate,  Lebanon33°43′33″N 35°55′47″E﻿ / ﻿33.72583°N 35.92972°E﻿ / 33.72583; 35.92972﻿ (Anjar)",Cultural:(iii)(iv),—,2006,33.725833892822266,35.92972183227539,Lebanon,"/wiki/Anjar,_Lebanon","https://en.wikipedia.org/wiki/Anjar,_Lebanon"
Archaeological Site of Troy,"Çanakkale Province,  Turkey39°57′23″N 26°14′20″E﻿ / ﻿39.95639°N 26.23889°E﻿ / 39.95639; 26.23889﻿ (Archaeological Site of Troy)",Cultural:(ii)(iii)(vi),7006158000000000000♠158 (390),2006,39.956390380859375,26.238889694213867,Turkey,/wiki/Archaeological_Site_of_Troy,https://en.wikipedia.org/wiki/Archaeological_Site_of_Troy
